Timestamp,TimestampReceived,Ion1,Ion2,Metabolite1,Metabolite2,Notes
1774042736.5356278,1774042736.5357351,29.18,59.98,2.615,2.635,Seq: 0  
1774042737.5356278,1774042737.5261579,29.18,59.89,2.618,2.638,Seq: 1  
1774042738.5356278,1774042738.538826,29.18,59.74,2.621,2.641,Seq: 2  
1774042739.5356278,1774042739.550834,29.2,59.5,2.624,2.644,Seq: 3  
1774042740.5356278,1774042740.565219,29.17,59.11,2.627,2.646,Seq: 4  
1774042741.5356278,1774042741.590897,29.16,58.96,2.629,2.648,Seq: 5  
1774042742.5356278,1774042742.5810761,29.17,58.87,2.632,2.65,Seq: 6  
1774042743.5356278,1774042743.571033,29.18,58.75,2.634,2.652,Seq: 7  
1774042744.5356278,1774042745.056174,29.16,58.45,2.636,2.654,Seq: 8  
1774042745.5356278,1774042746.04595,29.16,58.09,2.637,2.655,Seq: 9  
1774042746.5356278,1774042747.035898,29.16,57.72,2.64,2.658,Seq: 10  
1774042747.5356278,1774042748.025941,29.14,57.29,2.642,2.659,Seq: 11  
1774042748.5356278,1774042749.015872,29.14,56.91,2.644,2.661,Seq: 12  
1774042749.5356278,1774042750.0065432,29.15,56.52,2.645,2.662,Seq: 13  
1774042750.5356278,1774042750.995695,29.11,56.16,2.647,2.664,Seq: 14  
1774042751.5356278,1774042751.985568,29.13,55.82,2.649,2.665,Seq: 15  
1774042752.5356278,1774042752.9757671,29.11,55.5,2.651,2.666,Seq: 16  
1774042753.5356278,1774042753.965888,29.1,55.19,2.652,2.668,Seq: 17  
1774042754.5356278,1774042754.955707,29.11,54.85,2.654,2.669,Seq: 18  
1774042755.5356278,1774042755.945651,29.1,54.62,2.655,2.67,Seq: 19  
1774042756.5356278,1774042756.9357982,29.09,54.36,2.657,2.672,Seq: 20  
1774042757.5356278,1774042757.925827,29.08,54.14,2.658,2.673,Seq: 21  
1774042758.5356278,1774042758.915724,29.09,53.94,2.659,2.674,Seq: 22  
1774042759.5356278,1774042759.9058251,29.06,53.73,2.661,2.674,Seq: 23  
1774042760.5356278,1774042760.895628,29.05,53.59,2.661,2.675,Seq: 24  
1774042761.5356278,1774042761.8855,29.05,53.45,2.662,2.677,Seq: 25  
1774042762.5356278,1774042762.875633,29.05,53.33,2.663,2.677,Seq: 26  
1774042763.5356278,1774042763.865572,29.03,53.16,2.664,2.678,Seq: 27  
1774042764.5356278,1774042764.855449,29.03,53.01,2.666,2.679,Seq: 28  
1774042765.5356278,1774042765.8455281,29.03,52.79,2.666,2.68,Seq: 29  
1774042766.5356278,1774042766.835537,29.02,52.56,2.668,2.681,Seq: 30  
1774042767.5356278,1774042767.8255792,29.02,52.33,2.669,2.682,Seq: 31  
1774042768.5356278,1774042768.815319,29.0,52.09,2.67,2.683,Seq: 32  
1774042769.5356278,1774042769.80517,29.0,51.94,2.671,2.683,Seq: 33  
1774042770.5356278,1774042770.7953901,28.98,51.79,2.671,2.684,Seq: 34  
1774042771.5356278,1774042771.788793,28.98,51.64,2.672,2.685,Seq: 35  
1774042772.5356278,1774042772.775464,28.97,51.59,2.673,2.685,Seq: 36  
1774042773.5356278,1774042773.765369,28.97,51.6,2.674,2.686,Seq: 37  
1774042774.5356278,1774042775.250348,28.96,51.57,2.675,2.687,Seq: 38  
1774042775.5356278,1774042776.240308,28.95,51.55,2.676,2.688,Seq: 39  
1774042776.5356278,1774042777.230379,28.93,51.55,2.676,2.688,Seq: 40  
1774042777.5356278,1774042778.220309,28.93,51.49,2.677,2.689,Seq: 41  
1774042778.5356278,1774042779.210494,28.94,51.47,2.677,2.689,Seq: 42  
1774042779.5356278,1774042780.200279,28.91,51.46,2.678,2.69,Seq: 43  
1774042780.5356278,1774042781.190105,28.91,51.47,2.678,2.69,Seq: 44  
1774042781.5356278,1774042782.180282,28.92,51.5,2.679,2.691,Seq: 45  
1774042782.5356278,1774042783.170329,28.9,51.54,2.679,2.691,Seq: 46  
1774042783.5356278,1774042784.159843,28.89,51.57,2.679,2.691,Seq: 47  
1774042784.5356278,1774042785.150181,28.89,51.53,2.68,2.692,Seq: 48  
1774042785.5356278,1774042786.140521,28.89,51.49,2.68,2.692,Seq: 49  
1774042786.5356278,1774042787.130254,28.87,51.42,2.681,2.692,Seq: 50  
1774042787.5356278,1774042788.120297,28.88,51.41,2.681,2.693,Seq: 51  
1774042788.5356278,1774042789.11101,28.87,51.39,2.682,2.693,Seq: 52  
1774042789.5356278,1774042790.100035,28.87,51.4,2.682,2.694,Seq: 53  
1774042790.5356278,1774042791.090061,28.86,51.36,2.682,2.694,Seq: 54  
1774042791.5356278,1774042792.0799708,28.86,51.35,2.683,2.695,Seq: 55  
1774042792.5356278,1774042793.0697742,28.87,51.3,2.684,2.695,Seq: 56  
1774042793.5356278,1774042794.060041,28.84,51.23,2.684,2.696,Seq: 57  
1774042794.5356278,1774042795.049804,28.84,51.22,2.685,2.697,Seq: 58  
1774042795.5356278,1774042796.03986,28.82,51.17,2.685,2.697,Seq: 59  
1774042796.5356278,1774042797.03001,28.85,51.19,2.685,2.697,Seq: 60  
1774042797.5356278,1774042798.019841,28.82,51.15,2.686,2.697,Seq: 61  
1774042798.5356278,1774042799.009856,28.81,51.1,2.687,2.698,Seq: 62  
1774042799.5356278,1774042800.000031,28.81,51.1,2.687,2.698,Seq: 63  
1774042800.5356278,1774042800.989825,28.79,51.1,2.687,2.699,Seq: 64  
1774042801.5356278,1774042801.9803271,28.8,51.06,2.688,2.699,Seq: 65  
1774042802.5356278,1774042802.9698172,28.78,51.1,2.688,2.699,Seq: 66  
1774042803.5356278,1774042803.959769,28.79,51.08,2.689,2.699,Seq: 67  
1774042804.5356278,1774042805.444207,28.76,51.1,2.688,2.699,Seq: 68  
1774042805.5356278,1774042806.4349542,28.76,51.15,2.689,2.7,Seq: 69  
1774042806.5356278,1774042807.424827,28.77,51.15,2.689,2.7,Seq: 70  
1774042807.5356278,1774042808.414809,28.75,51.13,2.689,2.7,Seq: 71  
1774042808.5356278,1774042809.405315,28.75,51.17,2.689,2.7,Seq: 72  
1774042809.5356278,1774042810.394775,28.75,51.19,2.69,2.701,Seq: 73  
1774042810.5356278,1774042811.3850079,28.76,51.2,2.69,2.701,Seq: 74  
1774042811.5356278,1774042812.374847,28.73,51.19,2.69,2.701,Seq: 75  
1774042812.5356278,1774042813.364523,28.72,51.21,2.69,2.702,Seq: 76  
1774042813.5356278,1774042814.354609,28.72,51.22,2.691,2.702,Seq: 77  
1774042814.5356278,1774042815.344576,28.72,51.14,2.691,2.702,Seq: 78  
1774042815.5356278,1774042816.334752,28.69,51.01,2.692,2.702,Seq: 79  
1774042816.5356278,1774042817.324429,28.71,50.89,2.692,2.703,Seq: 80  
