Timestamp,TimestampReceived,Ion1,Ion2,Metabolite1,Metabolite2,Notes
1773180823.232892,1773180823.233002,25.93,35.93,2.794,2.782,Seq: 0  
1773180824.232892,1773180824.2452068,25.92,35.95,2.797,2.785,Seq: 1  
1773180825.232892,1773180825.257738,25.92,35.93,2.799,2.787,Seq: 2  
1773180826.232892,1773180826.24792,25.93,35.94,2.801,2.788,Seq: 3  
1773180827.232892,1773180827.2603621,25.92,35.93,2.802,2.79,Seq: 4  
1773180828.232892,1773180828.527985,25.91,35.9,2.804,2.792,Seq: 5  
1773180829.232892,1773180829.518085,25.89,35.9,2.806,2.794,Seq: 6  
1773180830.232892,1773180830.507441,25.9,35.88,2.808,2.796,Seq: 7  
1773180831.232892,1773180831.497762,25.88,35.84,2.81,2.797,Seq: 8  
1773180832.232892,1773180832.487844,25.88,35.84,2.812,2.799,Seq: 9  
1773180833.232892,1773180833.47788,25.87,35.86,2.813,2.801,Seq: 10  
1773180834.232892,1773180834.4678311,25.86,35.86,2.815,2.803,Seq: 11  
1773180835.232892,1773180835.45781,25.85,35.85,2.817,2.805,Seq: 12  
1773180836.232892,1773180836.44773,25.84,35.82,2.819,2.806,Seq: 13  
1773180837.232892,1773180837.437815,25.86,35.85,2.82,2.807,Seq: 14  
1773180838.232892,1773180838.427763,25.85,35.83,2.821,2.809,Seq: 15  
1773180839.232892,1773180839.41778,25.84,35.83,2.823,2.81,Seq: 16  
1773180840.232892,1773180840.407592,25.84,35.84,2.824,2.812,Seq: 17  
1773180841.232892,1773180841.3978481,25.86,35.86,2.826,2.814,Seq: 18  
1773180842.232892,1773180842.882626,25.84,35.86,2.828,2.815,Seq: 19  
1773180843.232892,1773180843.87282,25.85,35.86,2.829,2.816,Seq: 20  
1773180844.232892,1773180844.862596,25.85,35.83,2.83,2.817,Seq: 21  
1773180845.232892,1773180845.852396,25.88,35.87,2.831,2.818,Seq: 22  
1773180846.232892,1773180846.8425422,25.85,35.88,2.832,2.82,Seq: 23  
1773180847.232892,1773180847.832578,25.85,35.89,2.834,2.821,Seq: 24  
1773180848.232892,1773180848.822444,25.84,35.89,2.835,2.822,Seq: 25  
1773180849.232892,1773180849.812985,25.87,35.86,2.837,2.824,Seq: 26  
1773180850.232892,1773180850.802551,25.86,35.89,2.838,2.826,Seq: 27  
1773180851.232892,1773180851.792484,25.85,35.91,2.839,2.826,Seq: 28  
1773180852.232892,1773180852.782343,25.85,35.91,2.84,2.828,Seq: 29  
1773180853.232892,1773180853.7725449,25.85,35.99,2.841,2.829,Seq: 30  
1773180854.232892,1773180854.762658,25.84,35.96,2.843,2.83,Seq: 31  
1773180855.232892,1773180855.75262,25.86,36.0,2.844,2.831,Seq: 32  
1773180856.232892,1773180856.742496,25.84,36.02,2.845,2.832,Seq: 33  
1773180857.232892,1773180857.7316918,25.85,36.06,2.846,2.833,Seq: 34  
1773180858.232892,1773180858.722497,25.82,36.08,2.846,2.834,Seq: 35  
1773180859.232892,1773180859.712378,25.82,36.07,2.848,2.835,Seq: 36  
1773180860.232892,1773180860.702384,25.82,36.1,2.848,2.836,Seq: 37  
1773180861.232892,1773180861.692579,25.83,36.13,2.85,2.838,Seq: 38  
1773180862.232892,1773180862.682222,25.83,36.16,2.851,2.839,Seq: 39  
1773180863.232892,1773180863.672437,25.82,36.19,2.852,2.84,Seq: 40  
1773180864.232892,1773180864.662519,25.81,36.15,2.853,2.841,Seq: 41  
1773180865.232892,1773180865.6522732,25.82,36.15,2.855,2.843,Seq: 42  
1773180866.232892,1773180866.642302,25.82,36.2,2.857,2.844,Seq: 43  
1773180867.232892,1773180868.127306,25.83,36.18,2.858,2.846,Seq: 44  
1773180868.232892,1773180869.117243,25.81,36.12,2.859,2.847,Seq: 45  
1773180869.232892,1773180870.107378,25.82,36.19,2.861,2.849,Seq: 46  
1773180870.232892,1773180871.0972118,25.81,36.17,2.862,2.849,Seq: 47  
