Timestamp,TimestampReceived,Ion1,Ion2,Metabolite1,Metabolite2,Notes
1774560384.779757,1774560384.779902,27.18,45.11,2.631,2.634,Seq: 0  
1774560385.779757,1774560385.791775,27.17,44.96,2.638,2.642,Seq: 1  
1774560386.779757,1774560386.7817721,27.17,44.83,2.645,2.648,Seq: 2  
1774560387.779757,1774560387.794379,27.17,44.65,2.651,2.654,Seq: 3  
1774560388.779757,1774560388.8069448,27.17,44.46,2.658,2.661,Seq: 4  
1774560389.779757,1774560390.126764,27.18,44.3,2.664,2.667,Seq: 5  
1774560390.779757,1774560391.1170611,27.15,44.11,2.671,2.673,Seq: 6  
1774560391.779757,1774560392.107473,27.17,43.95,2.677,2.679,Seq: 7  
1774560392.779757,1774560393.0967932,27.16,43.78,2.682,2.685,Seq: 8  
1774560393.779757,1774560394.087624,27.16,43.59,2.688,2.69,Seq: 9  
1774560394.779757,1774560395.076879,27.16,43.43,2.694,2.695,Seq: 10  
1774560395.779757,1774560396.066873,27.13,43.28,2.699,2.7,Seq: 11  
1774560396.779757,1774560397.057528,27.15,43.16,2.704,2.705,Seq: 12  
1774560397.779757,1774560398.0468988,27.13,42.97,2.709,2.709,Seq: 13  
1774560398.779757,1774560399.0368981,27.13,42.86,2.713,2.713,Seq: 14  
1774560399.779757,1774560400.026969,27.15,42.72,2.718,2.718,Seq: 15  
1774560400.779757,1774560401.016969,27.12,42.59,2.722,2.722,Seq: 16  
1774560401.779757,1774560402.007567,27.11,42.5,2.727,2.727,Seq: 17  
1774560402.779757,1774560402.9969769,27.12,42.44,2.731,2.731,Seq: 18  
1774560403.779757,1774560403.9866772,27.11,42.31,2.735,2.734,Seq: 19  
1774560404.779757,1774560404.9768162,27.11,42.27,2.739,2.738,Seq: 20  
1774560405.779757,1774560405.966759,27.1,42.18,2.742,2.742,Seq: 21  
1774560406.779757,1774560406.956822,27.09,42.1,2.747,2.746,Seq: 22  
1774560407.779757,1774560407.9468498,27.07,42.02,2.75,2.749,Seq: 23  
1774560408.779757,1774560408.9366941,27.08,41.9,2.753,2.752,Seq: 24  
1774560409.779757,1774560409.9268708,27.1,41.9,2.756,2.755,Seq: 25  
1774560410.779757,1774560411.4116468,27.1,41.78,2.76,2.758,Seq: 26  
1774560411.779757,1774560412.401775,27.09,41.71,2.762,2.761,Seq: 27  
1774560412.779757,1774560413.391959,27.1,41.67,2.766,2.764,Seq: 28  
1774560413.779757,1774560414.381655,27.08,41.63,2.769,2.766,Seq: 29  
1774560414.779757,1774560415.371846,27.07,41.56,2.771,2.769,Seq: 30  
1774560415.779757,1774560416.361786,27.05,41.46,2.774,2.772,Seq: 31  
1774560416.779757,1774560417.846589,27.05,41.43,2.776,2.774,Seq: 32  
1774560417.779757,1774560418.341689,27.05,41.37,2.779,2.776,Seq: 33  
1774560418.779757,1774560419.331553,27.05,41.29,2.781,2.779,Seq: 34  
1774560419.779757,1774560420.321811,27.04,41.3,2.784,2.781,Seq: 35  
1774560420.779757,1774560421.31161,27.04,41.23,2.786,2.783,Seq: 36  
1774560421.779757,1774560422.301671,27.02,41.16,2.788,2.786,Seq: 37  
1774560422.779757,1774560423.2916942,27.02,41.12,2.791,2.788,Seq: 38  
1774560423.779757,1774560424.2814178,27.0,41.13,2.793,2.79,Seq: 39  
1774560424.779757,1774560425.271591,27.01,41.06,2.795,2.791,Seq: 40  
1774560425.779757,1774560426.2614899,27.0,41.02,2.797,2.794,Seq: 41  
1774560426.779757,1774560427.2515922,27.01,41.01,2.799,2.795,Seq: 42  
1774560427.779757,1774560428.242241,26.98,40.99,2.8,2.797,Seq: 43  
1774560428.779757,1774560429.231649,26.98,40.92,2.802,2.799,Seq: 44  
