Timestamp,TimestampReceived,Ion1,Ion2,Metabolite1,Metabolite2,Notes
1773443857.573915,1773443857.5740771,24.85,50.05,2.518,2.521,Seq: 0  
1773443858.573915,1773443858.586164,24.86,50.01,2.525,2.527,Seq: 1  
1773443859.573915,1773443859.5986118,24.86,49.94,2.531,2.532,Seq: 2  
1773443860.573915,1773443860.6112618,24.85,49.97,2.536,2.537,Seq: 3  
1773443861.573915,1773443861.6012511,24.87,49.89,2.541,2.542,Seq: 4  
1773443862.573915,1773443863.0561252,24.85,49.84,2.545,2.547,Seq: 5  
1773443863.573915,1773443864.0462499,24.86,49.72,2.55,2.551,Seq: 6  
1773443864.573915,1773443865.036231,24.86,49.58,2.554,2.555,Seq: 7  
1773443865.573915,1773443866.026118,24.84,49.45,2.558,2.558,Seq: 8  
1773443866.573915,1773443867.016192,24.85,49.28,2.561,2.562,Seq: 9  
1773443867.573915,1773443868.006165,24.86,49.1,2.565,2.566,Seq: 10  
1773443868.573915,1773443868.996014,24.84,48.92,2.568,2.568,Seq: 11  
1773443869.573915,1773443869.986773,24.85,48.81,2.572,2.571,Seq: 12  
1773443870.573915,1773443870.979172,24.85,48.66,2.574,2.573,Seq: 13  
1773443871.573915,1773443871.982022,24.84,48.51,2.577,2.576,Seq: 14  
1773443872.573915,1773443872.956129,24.83,48.35,2.58,2.579,Seq: 15  
1773443873.573915,1773443873.946198,24.83,48.24,2.582,2.582,Seq: 16  
1773443874.573915,1773443874.93616,24.85,48.11,2.585,2.584,Seq: 17  
1773443875.573915,1773443875.9261332,24.85,47.96,2.587,2.586,Seq: 18  
1773443876.573915,1773443876.9161592,24.85,47.85,2.59,2.588,Seq: 19  
1773443877.573915,1773443877.905692,24.87,47.76,2.591,2.589,Seq: 20  
1773443878.573915,1773443878.8959389,24.86,47.67,2.593,2.591,Seq: 21  
1773443879.573915,1773443879.8861198,24.86,47.54,2.595,2.593,Seq: 22  
1773443880.573915,1773443880.875771,24.84,47.4,2.596,2.594,Seq: 23  
1773443881.573915,1773443881.866012,24.87,47.34,2.598,2.595,Seq: 24  
1773443882.573915,1773443882.8558779,24.86,47.28,2.599,2.597,Seq: 25  
1773443883.573915,1773443883.845852,24.88,47.35,2.6,2.597,Seq: 26  
1773443884.573915,1773443884.836804,24.86,47.47,2.601,2.598,Seq: 27  
1773443885.573915,1773443885.824753,24.88,47.7,2.602,2.599,Seq: 28  
1773443886.573915,1773443888.7956429,24.87,47.95,2.602,2.6,Seq: 29  
1773443887.573915,1773443888.798312,24.88,48.15,2.603,2.601,Seq: 30  
1773443888.573915,1773443893.7456331,24.88,48.26,2.604,2.602,Seq: 31  
1773443889.573915,1773443893.7482529,24.87,48.23,2.605,2.603,Seq: 32  
1773443890.573915,1773443894.7359772,24.88,48.17,2.606,2.605,Seq: 33  
1773443891.573915,1773443894.7387152,24.86,48.07,2.608,2.606,Seq: 34  
1773443892.573915,1773443894.740471,24.87,47.95,2.609,2.606,Seq: 35  
1773443893.573915,1773443894.742087,24.87,47.83,2.609,2.607,Seq: 36  
1773443894.573915,1773443895.230674,24.87,47.72,2.61,2.607,Seq: 37  
1773443895.573915,1773443896.220292,24.85,47.58,2.611,2.609,Seq: 38  
1773443896.573915,1773443897.705313,24.88,47.46,2.612,2.609,Seq: 39  
1773443897.573915,1773443898.200243,24.88,47.42,2.613,2.61,Seq: 40  
1773443898.573915,1773443899.190304,24.88,47.45,2.612,2.61,Seq: 41  
1773443899.573915,1773443900.1798592,24.89,47.55,2.613,2.61,Seq: 42  
1773443900.573915,1773443901.170333,24.88,47.68,2.613,2.611,Seq: 43  
1773443901.573915,1773443902.16047,24.88,47.73,2.614,2.611,Seq: 44  
1773443902.573915,1773443903.150581,24.89,47.73,2.614,2.613,Seq: 45  
1773443903.573915,1773443904.1406012,24.89,47.69,2.615,2.612,Seq: 46  
1773443904.573915,1773443905.130594,24.89,47.59,2.615,2.613,Seq: 47  
1773443905.573915,1773443906.1205502,24.91,47.47,2.616,2.613,Seq: 48  
1773443906.573915,1773443907.110546,24.92,47.41,2.616,2.614,Seq: 49  
1773443907.573915,1773443908.1006088,24.9,47.27,2.617,2.614,Seq: 50  
1773443908.573915,1773443909.0906072,24.92,47.15,2.617,2.615,Seq: 51  
1773443909.573915,1773443910.080267,24.91,47.06,2.618,2.615,Seq: 52  
1773443910.573915,1773443911.0703049,24.93,46.94,2.619,2.616,Seq: 53  
1773443911.573915,1773443912.060483,24.95,46.89,2.619,2.616,Seq: 54  
1773443912.573915,1773443913.050476,24.94,46.78,2.62,2.616,Seq: 55  
1773443913.573915,1773443914.040355,24.92,46.68,2.62,2.617,Seq: 56  
1773443914.573915,1773443915.030243,24.91,46.57,2.621,2.617,Seq: 57  
1773443915.573915,1773443916.020259,24.94,46.52,2.62,2.617,Seq: 58  
1773443916.573915,1773443917.50521,24.95,46.47,2.621,2.618,Seq: 59  
1773443917.573915,1773443918.496448,24.95,46.41,2.621,2.618,Seq: 60  
1773443918.573915,1773443919.485369,24.95,46.34,2.621,2.618,Seq: 61  
1773443919.573915,1773443920.4753962,24.96,46.26,2.622,2.619,Seq: 62  
1773443920.573915,1773443921.465308,24.95,46.22,2.623,2.619,Seq: 63  
